Stock,Year,"Cost of Revenue, Total",Inventories - Other,"Accounts Receivable - Trade, Net",Total Current Assets,Net Sales,Gross Revenue,Total Current Liabilities,Cash from Operating Activities,Total Liabilities,Total Equity,Net Income Incl Extra Before Distributions,Gross Profit,Operating Income,"Total Assets, Reported","Accounts Receivable - Trade, Net",Accounts Payable,Net Income Before Taxes,Interest Expense - Operating,"Interest Expense, Supplemental","Total Fixed Assets, Net",EBITDA,Cash from Investing Activities
HTC.HN,2021,1279775683700.00,7971485460.00,2474387590,1.86474E+11,NULL,1.36479E+12,1.96906E+11,83384787390,3.0724E+11,2.86349E+11,34711539860,85018449270,41771131700,5.93588E+11,2474387590,6532178900,41916204690,888793820,888793820,399865817400.00,35579205140.00,-38089594540.00
HTC.HN,2022,1326247897280.00,27950780400.00,8939656820,2.38617E+11,NULL,1.43434E+12,2.20545E+11,61272657320,3.2644E+11,2.92837E+11,36442119270,1.08093E+11,45294641880,6.19277E+11,8939656820,18473686630,45237350610,1602789660,1602789660,373412139940.00,35967191100.00,-35051759170.00
NVT.HM,2016,99374199810.00,5403199960.00,3384586610,3.67964E+11,NULL,1.90831E+11,3.96598E+11,34631333740,5.99049E+11,7.20153E+11,2412038080,91393467260,-5095494200,1.3192E+12,3384586610,10275292620,15632015860,29230834070,29230834070,911882805110.00,44880100280.00,-28090439470.00
NVT.HM,2017,115404684470.00,3726507370.00,1442632430,73909195910,NULL,2.32582E+11,99420573400,40029600480,2.94225E+11,2.40562E+11,-4.79438E+11,1.17098E+11,-5.06715E+11,5.34787E+11,1442632430,12895249020,-4.39874E+11,26520800330,26520800330,435015727650.00,-183614941810.00,218388490070.00
NVT.HM,2018,126103716360.00,4445713720.00,-2153826390,69508827180,NULL,2.69582E+11,66535173150,41380974790,2.73472E+11,2.42459E+11,1897457680,1.43314E+11,41231490010,5.15931E+11,-2153826390,11663340170,41697357520,2214607290,2214607290,434053289730.00,79689460650.00,-10902600940.00
NVT.HM,2019,132213559850.00,4427332030.00,-2975289220,2.51098E+11,NULL,2.77955E+11,1.56665E+11,68227321040,3.55339E+11,2.69228E+11,26768637990,1.45602E+11,67118484970,6.24567E+11,-2975289220,10596391630,68001013140,2380926210,2380926210,373468483830.00,103047030170.00,-126454469410.00
NVT.HM,2020,118433976170.00,5807780380.00,-3599422400,1.90054E+11,NULL,2.11079E+11,84824191290,42355010150,2.60255E+11,2.75176E+11,5948585790,92623651420,27381635250,5.35431E+11,-3599422400,15912931930,26558895680,2958215710,2958215710,345377133850.00,55401031790.00,54773971650.00
NVT.HM,2021,109464961000.00,8915583650.00,-8682017410,1.30695E+11,NULL,1.2667E+11,1.10259E+11,25611954060,8.6063E+11,2.25212E+11,-49963890950,17204886960,-63140910320,1.08584E+12,-8682017410,21404307350,-64122746430,16706357380,16706357380,817854527930.00,-10502393840.00,-297006310240.00
NVT.HM,2022,167293321670.00,13591497550.00,-2431388270,1.54065E+11,NULL,3.37305E+11,1.49448E+11,76745146610,9.12537E+11,1.87454E+11,29270689880,1.70012E+11,28384062000,1.09999E+12,-2431388270,24918296000,29711438010,27134742760,27134742760,832203638840.00,84669536710.00,-36720192730.00
VCM.HN,2016,109903491030.00,4263365840.00,3054472500,1.13481E+11,1.3295E+11,NULL,1.05646E+11,-7253273300,1.08771E+11,69812315780,11559583660,23046553400,8892735620,1.78583E+11,3054472500,4500000000,15103932220,56258320,56258320,63802095600.00,8448915950.00,2817672160.00
